image,image_id,class,has_gt,n_food_detected,n_coin_detected,status,midas_predicted_kcal,midas_predicted_mass_g,fixed_predicted_kcal,fixed_predicted_mass_g,gt_kcal,gt_mass_g
datasets\ECUSTFD\images\test\apple015S(1).JPG,apple015,apple,True,1,1,ok,47.49285989858443,91.33242288189314,91.31442862170144,175.60467042634892,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(10).JPG,apple015,apple,True,1,1,ok,42.81509119778907,82.33671384190205,92.02585934503878,176.9728064327669,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(11).JPG,apple015,apple,True,1,1,ok,40.27282836162578,77.44774684928034,88.84711704249159,170.85984046632998,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(12).JPG,apple015,apple,True,1,1,ok,47.97663235104528,92.26275452124094,101.39207704388343,194.9847635459297,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(13).JPG,apple015,apple,True,1,1,ok,55.475309311744084,106.6832871379694,101.46603534911199,195.1269910559846,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(2).JPG,apple015,apple,True,1,1,ok,47.5839474453134,91.50759124098731,84.1415630022062,161.81069808116578,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(3).JPG,apple015,apple,True,1,1,ok,45.72900962837562,87.94040313149158,86.12469533895596,165.62441411337684,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(4).JPG,apple015,apple,True,1,1,ok,48.20343655201479,92.6989164461823,92.93958683817351,178.7299746887952,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(5).JPG,apple015,apple,True,1,1,ok,40.478327050352334,77.84293663529296,81.26186576577845,156.2728187803432,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(6).JPG,apple015,apple,True,1,1,ok,42.62373809184568,81.96872709970323,79.55298561044053,152.9865107893087,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(7).JPG,apple015,apple,True,1,1,ok,45.06223054748304,86.65813566823661,81.62358409878198,156.9684309591961,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(8).JPG,apple015,apple,True,1,1,ok,34.85593406525674,67.03064243318605,73.32414219868194,141.00796576669603,152.62,293.5
datasets\ECUSTFD\images\test\apple015S(9).JPG,apple015,apple,True,1,1,ok,37.451780414374504,72.02265464302789,75.49988070337258,145.1920782757165,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(1).JPG,apple015,apple,True,1,1,ok,80.08958627037,154.01843513532694,188.42262945547972,362.3512104913072,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(10).JPG,apple015,apple,True,1,1,ok,134.74614150965996,259.12719521088457,142.54774360150367,274.13027615673786,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(11).JPG,apple015,apple,True,1,1,ok,182.3044498364752,350.58548045476,166.5240860014819,320.2386269259267,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(12).JPG,apple015,apple,True,1,1,ok,91.70285474921023,176.35164374848122,170.28150518820337,327.46443305423725,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(13).JPG,apple015,apple,True,1,1,ok,86.29292622470895,165.94793504751723,176.43975359175434,339.3072184456814,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(2).JPG,apple015,apple,True,1,1,ok,104.60806160829539,201.1693492467219,194.78882627501548,374.5938966827221,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(3).JPG,apple015,apple,True,1,1,ok,200.9572855032558,386.4563182754919,238.88479015954883,459.3938272299016,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(4).JPG,apple015,apple,True,1,1,ok,212.6311868081747,408.9061284772591,222.77692875061956,428.4171706742684,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(5).JPG,apple015,apple,True,1,1,ok,172.80677388891797,332.32071901714994,230.3163775575119,442.9161106875229,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(6).JPG,apple015,apple,True,1,1,ok,118.76490530362476,228.39404866081685,172.877200856351,332.4561554929827,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(7).JPG,apple015,apple,True,1,1,ok,177.9008109383026,342.1169441121204,189.6181904294197,364.6503662104225,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(8).JPG,apple015,apple,True,1,1,ok,164.90199509021994,317.119221327346,189.2740726509826,363.98860125188963,152.62,293.5
datasets\ECUSTFD\images\test\apple015T(9).JPG,apple015,apple,True,1,1,ok,93.319389633736,179.46036468026153,152.87245100838499,293.98548270843264,152.62,293.5
datasets\ECUSTFD\images\test\apple016S(1).JPG,apple016,apple,True,1,1,ok,48.69708879694161,93.64824768642616,85.68618322490452,164.78112158635486,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(10).JPG,apple016,apple,True,1,1,ok,43.82340617603515,84.27578110775991,76.56639087541686,147.24305937580166,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(11).JPG,apple016,apple,True,1,1,ok,46.9725396063772,90.33180693534077,88.57082857173886,170.32851648411318,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(12).JPG,apple016,apple,True,1,1,ok,50.97712566035421,98.03293396221964,85.88652560852108,165.16639540100206,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(13).JPG,apple016,apple,True,1,1,ok,52.47442317394734,100.91235225759105,88.53399275988102,170.25767838438657,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(14).JPG,apple016,apple,True,1,1,ok,58.39144092326469,112.29123254473978,102.16992229508647,196.4806197982432,141.7,272.5
datasets\ECUSTFD\images\test\apple016S(15).JPG,apple016,apple,True,1,1,ok,44.27392321242964,85.14216002390314,82.5078519454667,158.66894604897442,141.7,272.5
