epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3584,0.69911,3.07252,0.94141,0.06336,0.76197,0.21724,0.21248,0.18443,0.59646,3.19928,0.84063,0.000324786,0.000324786,0.000324786
2,56.7537,0.70571,1.73541,0.93527,0.55797,0.43993,0.43853,0.38031,0.34162,0.68759,2.00484,0.92237,0.000645089,0.000645089,0.000645089
3,82.2649,0.68411,1.43199,0.92469,0.46401,0.64038,0.60361,0.57793,0.5104,0.61152,1.3836,0.90002,0.000952191,0.000952191,0.000952191
4,109.547,0.6735,1.32066,0.92384,0.7232,0.63267,0.72477,0.71506,0.62282,0.60545,1.13701,0.89384,0.0009406,0.0009406,0.0009406
5,138.453,0.66377,1.19021,0.9142,0.6251,0.71406,0.73914,0.72253,0.62741,0.61251,1.00037,0.89175,0.0009208,0.0009208,0.0009208
6,166.665,0.66081,1.05917,0.91729,0.72777,0.76125,0.8058,0.79025,0.6899,0.61039,0.83976,0.88997,0.000901,0.000901,0.000901
7,193.002,0.63748,0.99943,0.90622,0.80784,0.8024,0.85921,0.83507,0.73596,0.5895,0.78791,0.87948,0.0008812,0.0008812,0.0008812
8,219.857,0.6277,0.92688,0.89689,0.85731,0.80548,0.91942,0.90124,0.80484,0.56848,0.67758,0.88445,0.0008614,0.0008614,0.0008614
9,244.684,0.63017,0.86295,0.90398,0.80844,0.87771,0.93429,0.91312,0.81023,0.58477,0.66773,0.89272,0.0008416,0.0008416,0.0008416
10,270.057,0.61404,0.82038,0.89049,0.9107,0.89607,0.9639,0.93326,0.8411,0.58989,0.60764,0.89212,0.0008218,0.0008218,0.0008218
11,295.696,0.60311,0.79221,0.89548,0.9283,0.95915,0.98362,0.97567,0.8599,0.59355,0.52828,0.88596,0.000802,0.000802,0.000802
12,321.805,0.5959,0.72929,0.88906,0.91174,0.94137,0.97206,0.9585,0.85521,0.5625,0.53032,0.89119,0.0007822,0.0007822,0.0007822
13,346.15,0.59729,0.72589,0.8935,0.91102,0.93724,0.98355,0.97699,0.87035,0.57012,0.55318,0.88282,0.0007624,0.0007624,0.0007624
14,370.902,0.58391,0.67745,0.89185,0.86716,0.94278,0.97586,0.96866,0.86015,0.55048,0.49186,0.88143,0.0007426,0.0007426,0.0007426
15,395.338,0.59169,0.66664,0.88759,0.9552,0.94529,0.97789,0.96513,0.86363,0.55509,0.48044,0.88071,0.0007228,0.0007228,0.0007228
16,419.415,0.57852,0.64414,0.87715,0.93943,0.95345,0.98116,0.97074,0.88118,0.53179,0.4521,0.86686,0.000703,0.000703,0.000703
17,444.586,0.58962,0.63603,0.88852,0.9087,0.93017,0.97271,0.96582,0.86466,0.55033,0.50407,0.8777,0.0006832,0.0006832,0.0006832
18,469.575,0.57001,0.58976,0.87594,0.93454,0.95818,0.97996,0.96448,0.8696,0.55863,0.46403,0.88092,0.0006634,0.0006634,0.0006634
19,494.027,0.56464,0.58476,0.87281,0.95129,0.9467,0.98391,0.97847,0.87758,0.55086,0.45984,0.87183,0.0006436,0.0006436,0.0006436
20,519.106,0.56814,0.58332,0.88287,0.95668,0.9541,0.98197,0.97263,0.88483,0.53844,0.42691,0.86845,0.0006238,0.0006238,0.0006238
21,543.643,0.56644,0.5779,0.88952,0.93589,0.95226,0.9768,0.9691,0.86869,0.54954,0.51158,0.87339,0.000604,0.000604,0.000604
22,568.321,0.56632,0.54256,0.87932,0.9498,0.96444,0.98098,0.97048,0.8768,0.55114,0.44133,0.88043,0.0005842,0.0005842,0.0005842
23,593.196,0.56289,0.54714,0.88182,0.97352,0.9758,0.98274,0.97433,0.87385,0.56023,0.40884,0.88107,0.0005644,0.0005644,0.0005644
24,617.994,0.56582,0.53706,0.88197,0.96972,0.98473,0.99067,0.97585,0.88336,0.54051,0.40119,0.87696,0.0005446,0.0005446,0.0005446
25,643.028,0.55211,0.50129,0.87699,0.96844,0.97365,0.9905,0.97999,0.89315,0.53505,0.39,0.86941,0.0005248,0.0005248,0.0005248
26,667.907,0.54361,0.50062,0.87601,0.96295,0.97403,0.9899,0.97559,0.88597,0.52799,0.38232,0.86449,0.000505,0.000505,0.000505
27,693.101,0.53708,0.4861,0.87745,0.9701,0.98118,0.99204,0.97827,0.88892,0.52895,0.37909,0.86924,0.0004852,0.0004852,0.0004852
28,718.235,0.53354,0.47102,0.87339,0.95285,0.98653,0.99184,0.98256,0.88917,0.52265,0.36817,0.86179,0.0004654,0.0004654,0.0004654
29,742.985,0.53287,0.45751,0.86507,0.97433,0.99154,0.9929,0.98483,0.88806,0.52635,0.36565,0.86616,0.0004456,0.0004456,0.0004456
30,768.784,0.52832,0.45235,0.86487,0.98504,0.99152,0.99295,0.98507,0.89719,0.52932,0.35217,0.86513,0.0004258,0.0004258,0.0004258
31,796.308,0.53221,0.44437,0.87445,0.97965,0.99098,0.99176,0.98407,0.89769,0.51605,0.34539,0.86429,0.000406,0.000406,0.000406
32,821.446,0.51491,0.43752,0.86462,0.97121,0.98046,0.9931,0.98351,0.89449,0.52805,0.35868,0.86967,0.0003862,0.0003862,0.0003862
