epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4035,0.63508,3.05107,0.92413,0.06333,0.73499,0.22234,0.21954,0.19006,0.58692,3.18086,0.84065,0.000324786,0.000324786,0.000324786
2,58.0201,0.64506,1.7441,0.92407,0.61175,0.36757,0.36768,0.33513,0.29644,0.68816,2.17578,0.92257,0.000645089,0.000645089,0.000645089
3,85.8436,0.61614,1.40249,0.90561,0.4878,0.62076,0.63522,0.61162,0.534,0.63031,1.22165,0.91424,0.000952191,0.000952191,0.000952191
4,113.072,0.59814,1.30873,0.90127,0.61852,0.69231,0.71013,0.68669,0.59555,0.62495,1.16891,0.9294,0.0009406,0.0009406,0.0009406
5,140.115,0.58301,1.1398,0.89748,0.59211,0.75143,0.74358,0.71223,0.62681,0.59246,0.9429,0.90281,0.0009208,0.0009208,0.0009208
6,167.531,0.56189,1.04155,0.89276,0.72361,0.75057,0.80131,0.77658,0.68807,0.58539,0.89057,0.8971,0.000901,0.000901,0.000901
7,196.364,0.55028,0.96386,0.88664,0.76507,0.81001,0.83892,0.8206,0.71823,0.58986,0.75228,0.90183,0.0008812,0.0008812,0.0008812
8,224.586,0.54367,0.90689,0.88058,0.84936,0.92547,0.95504,0.92536,0.82372,0.59744,0.59824,0.90226,0.0008614,0.0008614,0.0008614
9,251.857,0.54463,0.84442,0.88157,0.86376,0.8502,0.90871,0.89115,0.79943,0.58058,0.67898,0.8966,0.0008416,0.0008416,0.0008416
10,279.539,0.52392,0.77957,0.86665,0.87666,0.89575,0.95063,0.92858,0.83786,0.5678,0.57898,0.89788,0.0008218,0.0008218,0.0008218
11,308.197,0.51551,0.75388,0.87847,0.85713,0.8875,0.94055,0.92312,0.82894,0.56064,0.58439,0.88265,0.000802,0.000802,0.000802
12,336.401,0.51361,0.70169,0.86892,0.91056,0.93095,0.97064,0.95842,0.85797,0.54695,0.52585,0.87796,0.0007822,0.0007822,0.0007822
13,364.564,0.51556,0.69704,0.87486,0.94208,0.89306,0.96924,0.95487,0.85429,0.55638,0.50674,0.88761,0.0007624,0.0007624,0.0007624
14,391.647,0.49662,0.65683,0.87018,0.85629,0.9023,0.94501,0.93617,0.83941,0.55106,0.52922,0.88098,0.0007426,0.0007426,0.0007426
15,419.163,0.49277,0.63339,0.86548,0.93133,0.95241,0.96984,0.95782,0.86256,0.53738,0.47798,0.88047,0.0007228,0.0007228,0.0007228
16,446.154,0.48857,0.60814,0.85634,0.91491,0.95455,0.98294,0.97511,0.87309,0.545,0.45753,0.87703,0.000703,0.000703,0.000703
17,473.946,0.50036,0.59363,0.86808,0.9661,0.96978,0.98508,0.98039,0.88416,0.53301,0.42903,0.87674,0.0006832,0.0006832,0.0006832
18,501.774,0.48297,0.54609,0.85681,0.95994,0.96963,0.98894,0.98274,0.88222,0.54916,0.43039,0.88024,0.0006634,0.0006634,0.0006634
19,529.505,0.46327,0.54502,0.84928,0.97928,0.97747,0.99167,0.9858,0.89587,0.52927,0.39988,0.87095,0.0006436,0.0006436,0.0006436
20,556.898,0.47031,0.52956,0.85855,0.95944,0.97755,0.99104,0.98289,0.8939,0.5209,0.39826,0.874,0.0006238,0.0006238,0.0006238
