epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.722,0.64121,4.02852,0.92122,0.89032,0.11299,0.17042,0.16898,0.14898,0.57293,2.80797,0.83876,0.000138103,0.000138103,0.000138103
2,103.139,0.66796,2.57387,0.89508,0.77925,0.41683,0.45808,0.4553,0.40085,0.59486,1.72346,0.84267,0.00027436,0.00027436,0.00027436
3,152.541,0.66866,1.7794,0.89189,0.58638,0.6358,0.68281,0.67343,0.60138,0.57319,1.38114,0.8426,0.000407864,0.000407864,0.000407864
4,200.596,0.64992,1.42881,0.8856,0.7286,0.69819,0.74972,0.74763,0.66545,0.57173,1.40715,0.86216,0.000404615,0.000404615,0.000404615
5,250.695,0.63587,1.23694,0.88101,0.83613,0.90713,0.93924,0.93714,0.84091,0.53322,1.0117,0.84443,0.000400487,0.000400487,0.000400487
6,298.594,0.62219,1.11429,0.88514,0.90423,0.93814,0.97361,0.96816,0.86939,0.54491,1.02087,0.84723,0.000396358,0.000396358,0.000396358
7,348.116,0.60648,1.00128,0.87801,0.92391,0.96704,0.97735,0.96226,0.86889,0.55029,0.93881,0.85029,0.00039223,0.00039223,0.00039223
8,398.58,0.60277,0.97898,0.88772,0.93565,0.97035,0.983,0.97901,0.87693,0.55032,0.89792,0.85261,0.000388102,0.000388102,0.000388102
9,447.599,0.5873,0.88851,0.876,0.95013,0.96669,0.98248,0.97945,0.87798,0.53632,0.86827,0.85188,0.000383974,0.000383974,0.000383974
10,502.01,0.58601,0.86185,0.8758,0.97009,0.96186,0.97931,0.97636,0.87556,0.53285,0.80154,0.84289,0.000379845,0.000379845,0.000379845
11,552.059,0.58743,0.83459,0.87651,0.96776,0.98146,0.98814,0.98342,0.88998,0.52128,0.76814,0.84177,0.000375717,0.000375717,0.000375717
12,600.075,0.581,0.78967,0.87244,0.95962,0.97544,0.98096,0.97661,0.88291,0.5249,0.75268,0.84618,0.000371589,0.000371589,0.000371589
13,647.287,0.55984,0.79741,0.87075,0.95522,0.96937,0.97681,0.97283,0.88452,0.52074,0.73536,0.84376,0.00036746,0.00036746,0.00036746
14,696.416,0.56462,0.75875,0.87797,0.97489,0.99192,0.99094,0.98863,0.88891,0.52789,0.70216,0.84802,0.000363332,0.000363332,0.000363332
15,744.634,0.56348,0.74623,0.87981,0.97394,0.97813,0.99175,0.98972,0.89346,0.51979,0.68729,0.83999,0.000359204,0.000359204,0.000359204
16,792.472,0.57128,0.72004,0.87361,0.98538,0.98307,0.99141,0.98864,0.88884,0.53357,0.68588,0.84836,0.000355076,0.000355076,0.000355076
17,841.239,0.56647,0.70228,0.87289,0.98212,0.98238,0.99202,0.98838,0.88666,0.53564,0.66801,0.84785,0.000350947,0.000350947,0.000350947
18,892.11,0.55101,0.69135,0.86443,0.95951,0.9757,0.97576,0.97095,0.88229,0.51844,0.6729,0.84319,0.000346819,0.000346819,0.000346819
19,991.983,0.54411,0.66485,0.86416,0.98383,0.98289,0.99104,0.98752,0.89324,0.51404,0.62375,0.84299,0.000342691,0.000342691,0.000342691
20,1039.42,0.55505,0.66699,0.86954,0.97266,0.9822,0.98849,0.98103,0.89744,0.52228,0.63598,0.84671,0.000338562,0.000338562,0.000338562
21,1099.61,0.559,0.64332,0.87187,0.98781,0.97837,0.99202,0.98586,0.89787,0.518,0.60064,0.84459,0.000334434,0.000334434,0.000334434
22,1148.69,0.53104,0.62408,0.86311,0.98537,0.98638,0.99277,0.98552,0.89791,0.51196,0.58396,0.84343,0.000330306,0.000330306,0.000330306
23,1198.16,0.54081,0.62442,0.86017,0.97569,0.98352,0.9885,0.98514,0.89814,0.51736,0.61277,0.84465,0.000326177,0.000326177,0.000326177
24,1244.88,0.5488,0.61279,0.86606,0.9754,0.98879,0.98967,0.9851,0.89627,0.52084,0.58453,0.84473,0.000322049,0.000322049,0.000322049
25,1285.91,0.53508,0.59682,0.86687,0.98353,0.99375,0.99284,0.9875,0.8954,0.52262,0.56556,0.84472,0.000317921,0.000317921,0.000317921
26,1327.61,0.52241,0.59503,0.86704,0.98369,0.99286,0.9913,0.98423,0.89802,0.51895,0.56544,0.84449,0.000313792,0.000313792,0.000313792
27,1369.81,0.53899,0.59521,0.86569,0.97985,0.98903,0.99113,0.98683,0.8974,0.53764,0.57106,0.8502,0.000309664,0.000309664,0.000309664
28,1410.46,0.53378,0.57977,0.8644,0.98228,0.99529,0.99107,0.9864,0.89687,0.51112,0.53341,0.84313,0.000305536,0.000305536,0.000305536
